Food Item,Calories (kcal),Protein (g),Carbohydrates (g),Total Fats (g),Sugars (g)
adhirasam,430,4.5,70,15,40
aloo_gobi,110,3.0,12,6,3
aloo_matar,120,3.5,14,6,3
aloo_methi,115,3.2,13,6,2
aloo_shimla_mirch,110,2.8,13,5.5,3
aloo_tikki,190,3.5,25,9,2
anarsa,420,4.0,68,15,38
apple,52,0.3,14,0.2,10
ariselu,430,4.2,69,15,39
banana,89,1.1,23,0.3,12
bandar_laddu,450,6.0,60,20,45
basundi,180,5.5,20,8,18
beetroot,43,1.6,10,0.2,7
bell pepper,31,1.0,6,0.3,4
bhatura,320,7.0,40,14,2
bhindi_masala,100,2.5,9,6.5,3
biryani,190,6.5,25,7,2
boondi,480,9.0,50,27,15
butter_chicken,220,15,6,15,3
cabbage,25,1.3,6,0.1,3
capsicum,31,1.0,6,0.3,4
carrot,41,0.9,10,0.2,5
cauliflower,25,1.9,5,0.3,2
chak_hao_kheer,160,3.5,28,4,15
cham_cham,320,7.0,55,8,45
chana_masala,160,7.5,22,5,4
chapati,297,9.0,50,7,2
chhena_kheeri,190,6.5,22,8,18
chicken_razala,200,18,5,12,2
chicken_tikka,190,25,4,8,2
chicken_tikka_masala,190,14,8,11,4
chikki,480,10,55,25,40
chilli pepper,40,1.9,9,0.4,5
corn,96,3.4,21,1.5,6
cucumber,15,0.7,3.6,0.1,1.7
daal_baati_churma,400,8.0,50,18,10
daal_puri,280,8.0,40,9,2
dal_makhani,150,7.0,15,8,3
dal_tadka,120,6.5,16,3.5,2
dharwad_pedha,420,7.0,55,18,45
doodhpak,170,5.0,22,6,18
double_ka_meetha,300,5.5,40,13,30
dum_aloo,130,2.8,15,7,3
eggplant,25,1.0,6,0.2,3.5
gajar_ka_halwa,250,4.5,30,12,25
garlic,149,6.4,33,0.5,1
gavvalu,450,5.5,60,20,30
ghevar,400,5.0,55,18,35
ginger,80,1.8,18,0.8,1.7
grapes,69,0.7,18,0.2,15
gulab_jamun,380,5.0,55,15,45
imarti,350,4.0,60,12,40
jalebi,350,3.5,60,12,42
jalepeno,29,0.9,6.5,0.4,4
kachori,350,6.5,40,18,2
kadai_paneer,250,12,8,19,4
kadhi_pakoda,130,4.5,12,7,5
kajjikaya,420,5.5,55,20,30
kakinada_khaja,450,4.5,55,24,30
kalakand,380,9.0,40,20,35
karela_bharta,90,2.5,8,5.5,2
kiwi,61,1.1,15,0.5,9
kofta,230,8.0,12,17,3
kuzhi_paniyaram,200,4.5,30,7,2
lassi,90,3.5,10,3.5,9
ledikeni,320,6.5,55,8,45
lemon,29,1.1,9,0.3,2.5
lettuce,15,1.4,2.9,0.2,0.8
litti_chokha,280,7.5,40,10,2
lyangcha,330,6.0,55,10,42
maach_jhol,110,15,3,4.5,1
makki_di_roti_sarson_da_saag,180,5.0,20,9,2
malapua,320,5.0,45,13,30
mango,60,0.8,15,0.4,14
misi_roti,280,9.5,45,7,2
misti_doi,150,4.5,20,5,18
modak,300,4.5,50,9,30
mysore_pak,500,5.5,50,30,35
naan,310,9.0,50,7.5,3
navrattan_korma,170,5.0,12,12,5
onion,40,1.1,9,0.1,4
orange,47,0.9,12,0.1,9
palak_paneer,180,9.0,8,13,3
paneer_butter_masala,250,10,10,19,5
paprika,282,14,54,13,10
pear,57,0.4,15,0.1,10
peas,81,5.4,14,0.4,6
phirni,160,4.0,25,5,18
pineapple,50,0.5,13,0.1,10
pithe,280,5.0,45,9,15
poha,180,3.5,30,5,2
pomegranate,83,1.7,19,1.2,14
poornalu,380,6.0,55,15,30
pootharekulu,400,4.0,60,16,35
potato,77,2.0,17,0.1,0.8
qubani_ka_meetha,220,3.0,45,3,40
rabri,250,7.5,25,13,20
raddish,16,0.7,3.4,0.1,1.9
ras_malai,200,7.0,25,8,20
rasgulla,186,4.0,33,4,28
sandesh,300,10,40,10,35
shankarpali,480,6.5,55,26,15
sheer_korma,200,5.5,25,9,20
sheera,300,4.5,40,14,20
shrikhand,200,5.5,30,7,26
sohan_halwa,480,4.5,55,27,35
sohan_papdi,460,6.0,65,20,40
soy beans,173,16.6,9.9,9,3
spinach,23,2.9,3.6,0.4,0.4
sushi,150,5.5,28,1.5,4
sutar_feni,450,5.5,55,22,25
sweetcorn,96,3.4,21,1.5,6
sweetpotato,86,1.6,20,0.1,4.2
tomato,18,0.9,3.9,0.2,2.6
turnip,28,0.9,6.4,0.1,3.8
unni_appam,320,4.5,45,14,20
watermelon,30,0.6,8,0.2,6
